symbol,date,close,prediction,probability,confidence
NSE:BOMDYEING-EQ,2025-01-30,154.85,1.0,0.6,0.6
NSE:BOROLTD-EQ,2025-01-30,386.85,1.0,0.59,0.59
NSE:BORORENEW-EQ,2025-01-30,506.35,1.0,0.58,0.58
NSE:BPCL-EQ,2025-01-30,257.15,1.0,0.59,0.59
NSE:BPL-EQ,2025-01-30,93.31,1.0,0.59,0.59
NSE:BRIGADE-EQ,2025-01-30,1113.9,1.0,0.52,0.52
NSE:BRITANNIA-EQ,2025-01-30,5075.35,1.0,0.56,0.56
NSE:BSE-EQ,2025-01-30,1746.3,1.0,0.55,0.55
NSE:BSLGOLDETF-EQ,2025-01-30,72.32,1.0,0.55,0.55
NSE:BSLNIFTY-EQ,2025-01-30,26.76,1.0,0.62,0.62
NSE:BSOFT-EQ,2025-01-30,530.15,1.0,0.59,0.59
NSE:CAMLINFINE-BE,2025-01-30,127.51,1.0,0.51,0.51
NSE:CAMPUS-EQ,2025-01-30,272.2,1.0,0.55,0.55
NSE:CAMS-EQ,2025-01-30,3637.2,1.0,0.55,0.55
NSE:CANBK-EQ,2025-01-30,90.91,1.0,0.6,0.6
NSE:CANFINHOME-EQ,2025-01-30,653.7,1.0,0.6,0.6
NSE:CANTABIL-EQ,2025-01-30,278.4,1.0,0.51,0.51
NSE:CAPACITE-EQ,2025-01-30,352.4,1.0,0.54,0.54
NSE:CAPITALSFB-EQ,2025-01-30,303.05,1.0,0.61,0.61
NSE:CAPLIPOINT-EQ,2025-01-30,2030.95,1.0,0.61,0.61
NSE:CARBORUNIV-EQ,2025-01-30,1169.8,1.0,0.62,0.62
NSE:CARERATING-EQ,2025-01-30,1335.6,1.0,0.59,0.59
NSE:CARRARO-EQ,2025-01-30,545.5,1.0,0.54,0.54
NSE:CARTRADE-EQ,2025-01-30,1635.4,1.0,0.51,0.51
NSE:CASTROLIND-EQ,2025-01-30,174.93,1.0,0.59,0.59
NSE:CCCL-EQ,2025-01-30,16.69,1.0,0.51,0.51
NSE:CCL-EQ,2025-01-30,609.95,1.0,0.6,0.6
NSE:CDSL-EQ,2025-01-30,1270.8,1.0,0.55,0.55
NSE:CEATLTD-EQ,2025-01-30,2902.45,1.0,0.62,0.62
NSE:CEIGALL-EQ,2025-01-30,304.2,1.0,0.6,0.6
NSE:CELLO-EQ,2025-01-30,639.6,1.0,0.61,0.61
NSE:CENTEXT-EQ,2025-01-30,21.43,1.0,0.61,0.61
NSE:CENTRALBK-EQ,2025-01-30,51.07,1.0,0.59,0.59
NSE:CENTRUM-BE,2025-01-30,27.12,1.0,0.6,0.6
NSE:CESC-EQ,2025-01-30,141.54,1.0,0.61,0.61
NSE:CEWATER-EQ,2025-01-30,689.35,1.0,0.53,0.53
NSE:CGCL-EQ,2025-01-30,176.59,1.0,0.57,0.57
NSE:CGPOWER-EQ,2025-01-30,620.6,1.0,0.59,0.59
NSE:CHALET-EQ,2025-01-30,753.35,1.0,0.59,0.59
NSE:CHAMBLFERT-EQ,2025-01-30,494.0,1.0,0.61,0.61
NSE:CHENNPETRO-EQ,2025-01-30,524.5,1.0,0.61,0.61
NSE:CHOICEIN-EQ,2025-01-30,512.1,1.0,0.56,0.56
NSE:CHOLAFIN-EQ,2025-01-30,1279.4,1.0,0.6,0.6
NSE:CHOLAHLDNG-EQ,2025-01-30,1531.55,1.0,0.55,0.55
NSE:CIEINDIA-EQ,2025-01-30,465.75,1.0,0.57,0.57
NSE:CIGNITITEC-EQ,2025-01-30,1489.7,1.0,0.51,0.51
NSE:CIPLA-EQ,2025-01-30,1457.45,1.0,0.62,0.62
NSE:CLEAN-EQ,2025-01-30,1367.2,1.0,0.53,0.53
NSE:CLEDUCATE-EQ,2025-01-30,117.12,1.0,0.54,0.54
NSE:CLSEL-EQ,2025-01-30,316.45,1.0,0.58,0.58
NSE:CMSINFO-EQ,2025-01-30,436.9,1.0,0.61,0.61
NSE:COALINDIA-EQ,2025-01-30,385.05,1.0,0.59,0.59
NSE:COASTCORP-EQ,2025-01-30,47.16,0.0,0.5,0.5
NSE:COCHINSHIP-EQ,2025-01-30,1456.4,1.0,0.6,0.6
NSE:COFORGE-EQ,2025-01-30,1665.47,1.0,0.52,0.52
NSE:COHANCE-EQ,2025-01-30,1037.9,1.0,0.52,0.52
NSE:COLPAL-EQ,2025-01-30,2771.3,1.0,0.57,0.57
NSE:COMMOIETF-EQ,2025-01-30,80.61,1.0,0.56,0.56
NSE:CONCOR-EQ,2025-01-30,605.0,1.0,0.61,0.61
NSE:CONCORDBIO-EQ,2025-01-30,2066.55,1.0,0.62,0.62
NSE:CONFIPET-EQ,2025-01-30,68.44,1.0,0.6,0.6
NSE:CONSUMBEES-EQ,2025-01-30,120.83,1.0,0.56,0.56
NSE:COROMANDEL-EQ,2025-01-30,1823.45,1.0,0.61,0.61
NSE:COSMOFIRST-EQ,2025-01-30,724.15,1.0,0.52,0.52
NSE:CPSEETF-EQ,2025-01-30,83.88,1.0,0.59,0.59
NSE:CRAFTSMAN-EQ,2025-01-30,4061.85,1.0,0.56,0.56
NSE:CREDITACC-EQ,2025-01-30,1067.65,1.0,0.51,0.51
NSE:CRISIL-EQ,2025-01-30,5271.05,1.0,0.58,0.58
NSE:CROMPTON-EQ,2025-01-30,342.8,1.0,0.57,0.57
NSE:CSBBANK-EQ,2025-01-30,302.85,1.0,0.55,0.55
NSE:CUB-EQ,2025-01-30,173.21,1.0,0.58,0.58
NSE:CUBEXTUB-BE,2025-01-30,101.36,1.0,0.56,0.56
NSE:CUMMINSIND-EQ,2025-01-30,2852.95,1.0,0.57,0.57
NSE:CUPID-EQ,2025-01-30,71.19,1.0,0.57,0.57
NSE:CYBERTECH-BE,2025-01-30,207.65,1.0,0.55,0.55
NSE:CYIENT-EQ,2025-01-30,1362.55,1.0,0.58,0.58
NSE:CYIENTDLM-EQ,2025-01-30,494.4,1.0,0.53,0.53
NSE:DABUR-EQ,2025-01-30,533.7,1.0,0.6,0.6
NSE:DALBHARAT-EQ,2025-01-30,1851.9,1.0,0.57,0.57
